"site","record_type","year","month","day","running_day_of_project","julian_day","pH_air_eqll","anc_ueq_L","spec_conductance_us_cm","apparent_color_pcu","Ca_ueq_L","Mg_ueq_L","K_ueq_L","Na_ueq_L","Cl_ueq_L","NO3_ueq_L","SO4_ueq_L","Si_mg_L","NH4_ueq_L","Al_ppb","volume_mL","vol_converted_to_depth_mm","belfort_gage_depth_mm","comment","campbell_depth_in","total_P_ppb","total_N_ppm"
"AERCA","REG",1987,10,27,665,300,4.06,-93.7,52.3,,7,7.4,2.8,29.6,32,32.5,92,,0,6,963,,10,,,,
"AERSU","REG",1987,10,27,665,300,4.05,-102.4,54.6,,5.5,6.6,2.6,27.4,36,32.5,92,,,12,717,,10,,,,
"AERCA","REG",1987,11,3,672,307,4.53,-30.7,18.2,2,2.5,4.9,0.8,20.4,23,11.1,31,,5,12,1328,,19,,,,
"AERSU","REG",1987,11,3,672,307,4.47,-35.6,20.7,2,1.5,4.1,0.5,20,22,7.8,31,,5,8,1164,,19,,,,
"AERCA","REG",1987,11,10,679,314,3.84,-163.7,62.2,,15.5,4.9,3.1,7.4,16,77.4,110,,41.5,16,512,,6,,,,
"AERSU","REG",1987,11,10,679,314,3.96,-119.1,46.6,,6,3.3,1,2.6,30,45,75,,32.1,12,271,,6,,,,
"AERCA","REG",1987,11,17,686,321,5.13,-7.4,10,3,2,1.6,0.5,5.2,8,5,5,,0.6,4,674,,21,,,,
"AERSU","REG",1987,11,17,686,321,4.81,-17.4,5.7,6,2,2.5,0.5,7.8,14,6.9,8,,0.6,1,176,,21,,,,
"AERCA","REG",1987,11,23,692,327,4.76,-19.4,16.2,,3,8.2,2.6,39.1,49,9.5,19,,3.9,8,1191,,18,,,,
"AERSU","REG",1987,11,23,692,327,4.73,-21.9,14.9,,2.5,6.6,0.8,28.7,36,9.3,20,,4.4,3,921,,15,,,,
"AERCA","REG",1987,12,1,700,335,4.98,-10.9,6.5,,1.5,1.6,0.3,8.3,8,4.4,7,,2.2,3,4693,,94,,,,
"AERSU","REG",1987,12,1,700,335,5.03,-11.1,6.2,,1,1.6,0,6.5,12,3.3,6,,2.2,3,3961,,97,,,,
"AERCA","REG",1987,12,8,707,342,4.59,-28.3,12.9,,3.5,0,0.8,0.9,4,26.5,6,,,8,197,,,,,,
"AERSU","REG",1987,12,8,707,342,4.51,,16.9,,3.5,0,1.8,2.6,4,33.2,6,,,14,132,,,,,,
"AERCA","REG",1987,12,15,714,349,4.53,-28.1,16.1,11,4,1.6,2.6,10.4,6,25.5,21,,7.8,10,823,,22,,,,
"AERSU","REG",1987,12,15,714,349,4.19,-69.3,32.6,2,1.5,0.8,0.3,2.6,4,43.7,37,,9.4,3,650,,22,,,,
"AERCA","REG",1987,12,22,721,356,4.86,-14.4,7.9,2,1,0.8,0.3,2.2,3,8.5,6,,0,10,1580,,47,,,,
"AERSU","REG",1987,12,22,721,356,4.99,-8.4,5,2,2,0.8,0.8,2.6,3,5,4,,0,2,785,,44,,,,
"AERCA","REG",1987,12,29,728,363,4.34,-53.6,25.5,8,2,1.6,1,7,10,32.1,28,,8.3,7,865,,13,,,,
"AERSU","REG",1987,12,29,728,363,4.11,,44.2,11,7,4.9,2,14.8,26,54.7,48,,12.7,42,194,,9,,,,
"AERCA","REG",1988,1,5,736,5,4.92,-11.8,8.5,2,2,1.6,0.5,8.3,10,10.5,7,,1.1,4,850,12.52,13,,,,
"AERSU","REG",1988,1,5,736,5,4.9,-10.6,7.8,2,1.5,1.6,0.3,8.7,7,10.1,8,,1.1,2,700,10.31,13,,,,
"AERCA","REG",1988,1,12,743,12,4.91,-13.4,7.1,7,2,0.8,0.3,3,5,10.7,5,,,3,530,7.81,12,,,,
"AERSU","REG",1988,1,12,743,12,,,94.1,,,,,,,,,,,,6,0.09,10,,,,
"AERCA","REG",1988,1,19,750,19,4.43,-43.9,22.8,8,4.5,6.6,1.3,27.8,23,29.5,34,,6.6,1.2,730,10.75,10,,,,
"AERSU","REG",1988,1,19,750,19,4.37,-41.2,28.8,13,4,4.9,1.3,38.3,25,38.8,41,,8.9,6,550,8.1,8,,,,
"AERCA","REG",1988,1,27,758,27,4.74,-17.5,11.3,4,1.5,1.6,0.8,5.7,8,9.9,13,,4.4,6,2130,31.37,31,,,,
"AERSU","REG",1988,1,27,758,27,4.76,-17.7,10.4,5,1.5,1.6,0.5,5.7,6,10.6,13,,5.5,6,1990,29.31,30,,,,
"AERCA","REG",1988,2,2,764,33,3.98,-136.1,63.8,8,8.5,8.2,1.3,30,30,93.5,63,,1.5,1,533,7.85,5,,,,
"AERSU","REG",1988,2,2,764,33,4.04,-122.1,51.6,5,5,4.9,0.5,14.8,13,77,57,,1.2,8,447,6.58,5,,,,
"AERCA","REG",1988,2,9,771,40,4.84,-20,9.1,2,1,3.3,0.5,12.2,17,7.7,9,,1.1,8,338,4.98,24,,,,
"AERSU","REG",1988,2,9,771,40,4.44,-44.7,23.3,5,2,5,1,24.4,45,15.4,17,,3.3,6,1471,21.67,24,,,,
"AERCA","REG",1988,2,16,778,47,4.72,-23.1,12.8,6,3,2.5,0,10.9,10,15.4,16,,3.3,2,2720,40.06,44,,,,
"AERSU","REG",1988,2,16,778,47,4.66,-24.9,13.8,9,3,3,0,12.6,12,14.6,18,,3.3,7,1897,27.94,32,,,,
"AERCA","REG",1988,2,23,785,54,4.58,-33,18,5,3,2.5,0.3,13.9,15,9.3,32,,7.8,4,1603,23.61,30,,,,
"AERSU","REG",1988,2,23,785,54,4.54,-36.5,20.1,5,3,4,0.5,18.7,21,12.3,31,,6.6,4,1246,18.35,22,,,,
"AERCA","REG",1988,3,1,791,61,3.71,-219.2,10.2,,62.9,36.2,6.1,11.7,106,215,155,,6,,118,1.74,2,,,,
"AERSU","REG",1988,3,1,791,61,3.72,,91.1,,58,32,6.6,50.5,74,203,170,,7.5,,88,1.3,4,,,,
"AERCA","REG",1988,3,8,798,68,4.08,-101.9,53.2,10,20.5,6.6,1.5,22.2,16,85.6,50,,1.7,3,135,1.99,5,,,,
"AERSU","REG",1988,3,8,798,68,3.96,,70.2,,24,14,3.6,53.5,31,143,66,,3.3,6,81,1.19,2,,,,
"AERCA","REG",1988,3,15,805,75,3.93,-138.1,74.9,6,11.5,5.8,1.5,20.4,25,98.8,89,,3.2,2,628,9.25,11,,,,
"AERSU","REG",1988,3,15,805,75,3.94,-141.2,74.4,14,12,5.8,1.3,15.2,16,102,98,,3.4,2.4,505,7.44,9,,,,
"AERCA","REG",1988,3,22,812,82,4.28,,,,,,,,33,,37,,7.8,,46,0.68,1,,,,
"AERSU","REG",1988,3,22,812,82,,,58.4,,,,,,,,,,,,4,0.06,2,,,,
"AERCA","REG",1988,3,29,819,89,5,-10.3,8.9,4,3.5,4.9,0.8,23.9,26,8,10,,2.8,4,3754,55.3,58,,,,
"AERSU","REG",1988,3,29,819,89,4.97,-11.5,9.2,4,3,4.9,0.8,22.6,25,8.5,12,,5.5,4,2934,43.22,41,,,,
"AERCA","REG",1988,4,12,833,103,4.39,-46.3,25.9,19,4.5,5.8,1,6.5,,15.8,36,,7.2,2,797,11.74,12,,,,
"AERSU","REG",1988,4,12,833,103,4.38,-52.1,23.1,12,1.5,1.6,1,4.8,6,17.8,38,,7.2,0.3,721,10.62,12,,,,
"AERCA","REG",1988,4,19,840,110,4.78,-16.2,11.1,2,2.5,2.5,0.4,3.9,14,8,16,,5.8,0.9,1549,22.82,24,,,,
"AERSU","REG",1988,4,19,840,110,4.93,-11,7.9,2,1.5,0.8,0.3,3.5,5,7.3,11,,3.3,0.3,1199,17.66,22,,,,
"AERCA","REG",1988,4,26,847,117,4.82,-15.3,9.2,5,3,1.6,0.3,2.6,11,6.3,14,,5,0.6,1827,26.91,29,,,,
"AERSU","REG",1988,4,26,847,117,4.94,-11.5,7.4,4,1.5,0.8,0.5,2.6,6,5.7,12,,3.9,0.4,1627,23.97,27,,,,
"AERCA","REG",1988,5,3,854,124,4.35,-49,23.8,4,5,4.9,0.3,4.3,24,20.4,37,,6.1,1.3,2083,30.68,32,,,,
"AERSU","REG",1988,5,3,854,124,4.33,-49,24.3,3,4,4.1,1,5.7,23,21.9,38,,6.6,1.2,1788,26.34,25,,,,
"AERCA","REG",1988,5,17,868,138,4.78,-17.9,9.9,4,1.5,0.8,0.9,3.9,6,14.1,18,,5.8,0.3,1486,21.89,17,,,,
"AERSU","REG",1988,5,17,868,138,4.77,-19.6,10.4,3,2.5,1.6,0.3,2.6,5,13.5,17,,5,0.6,1292,19.03,15,,,,
"AERCA","REG",1988,5,24,875,145,4.39,-46.6,23.8,,5,4.9,0.5,4.8,,11.2,40,,6.6,3.3,121,1.78,2,,,,
"AERSU","REG",1988,5,24,875,145,,,31.2,,9,6.6,2.3,6.1,,13.9,34,,6.1,2.7,100,1.47,3,,,,
"AERCA","REG",1988,5,31,882,152,4.48,-36.9,17.2,10,3.5,0.8,0.8,1.1,4,15.7,36,,1.1,0.4,2626,38.68,41,,,,
"AERSU","REG",1988,5,31,882,152,4.51,-35.5,16.4,9,2.5,0,0.5,0.9,2,14.6,34,,1.1,0.2,2596,38.24,38,,,,
"AERCA","REG",1988,6,7,889,159,4.88,-16.1,9,,2.5,0.8,0.8,3.5,7,9,13,,4.4,0.5,233,3.43,2,,,,
"AERSU","REG",1988,6,7,889,159,4.86,-19.6,12.4,,3.5,1.6,0.5,2.6,10,7.7,11,,3.9,0.7,240,3.54,4,,,,
"AERCA","REG",1988,6,14,896,166,4.53,-35.5,22.5,26,8.5,2.5,1.3,2.2,4,15,33,,1.4,0.6,415,6.11,3,,,,
"AERSU","REG",1988,6,14,896,166,4.46,-33.8,26.8,22,9,2.5,1,0.9,3,15.7,35,,1.7,0.9,365,5.38,4,,,,
"AERCA","REG",1988,6,21,903,173,3.79,-186,81.7,34,29.4,8.2,2.3,3.5,10,83.1,207,,6.2,1.2,781,11.5,11,,,,
"AERSU","REG",1988,6,21,903,173,3.77,-182,84.1,31,28.4,8.2,2,2.6,9,82.8,210,,6.5,1.8,733,10.8,10,,,,
"AERCA","REG",1988,6,28,910,180,4.01,-108,58.1,28,24.2,8.2,3.3,6.3,12,51.6,130,,4.7,1.6,859,12.65,12,,,,
"AERSU","REG",1988,6,28,910,180,4.04,-101,54.5,18,20,6.6,2,5.2,10,48,123,,5,1.3,710,10.46,12,,,,
"AERCA","REG",1988,7,5,917,187,4.13,-86,41.3,11,4,1.6,0.5,0.9,6,30.8,69,,1.3,0.4,2151,31.68,33,,,,
"AERSU","REG",1988,7,5,917,187,4.13,-85.1,40.1,11,4,1.6,0.3,0.9,8,30.3,69,,1.4,0.6,2065,30.42,28,,,,
"AERCA","REG",1988,7,12,924,194,3.97,-130.8,65,22,18,5.8,1,1.7,6,54.6,125,,3.2,2.6,496,7.31,7,,,,
