"site","record_type","year","month","day","running_day_of_project","julian_day","pH_air_eqll","anc_ueq_L","spec_conductance_us_cm","apparent_color_pcu","Ca_ueq_L","Mg_ueq_L","K_ueq_L","Na_ueq_L","Cl_ueq_L","NO3_ueq_L","SO4_ueq_L","Si_mg_L","NH4_ueq_L","Al_ppb","volume_mL","vol_converted_to_depth_mm","belfort_gage_depth_mm","comment","campbell_depth_in","total_P_ppb","total_N_ppm"
"AERSU","REG",1988,7,12,924,194,3.96,-134.5,71.9,25,19,5.8,0.8,1.7,6,55.4,127,,3.8,2.9,424,6.25,9,,,,
"AERCA","REG",1988,7,19,931,201,3.91,-137,64.6,15,7.5,3.3,0.8,7,7,52.5,127,,2.8,0.6,1182,17.41,17,,,,
"AERSU","REG",1988,7,19,931,201,3.92,-140,61.7,11,7.5,3.3,0.5,3.5,8,50.2,123,,2.7,1.4,1130,16.64,16,,,,
"AERCA","REG",1988,7,26,938,208,4.84,-17.4,9.8,3,0,0,0,0.4,1,6.2,13,,2.2,0.2,3210,47.28,52,,,,
"AERSU","REG",1988,7,26,938,208,4.8,-18.8,9.4,3,0,0,0.3,0,1,5.9,13,,2.2,0.3,3155,46.47,47,,,,
"AERCA","REG",1988,8,2,945,215,4.28,-66.8,30,9,6.5,2.5,0.3,0.4,2,30.6,59,,1.7,0.3,704,10.37,11,,,,
"AERSU","REG",1988,8,2,945,215,4.29,-63.5,25.2,6,7,2.5,0.3,0.4,2,29.8,57,,1.7,0.2,648,9.54,8,,,,
"AERCA","REG",1988,8,9,952,222,4.3,-63.7,27.3,4,2,0.8,0.3,1.7,2,22.2,57,,1.7,0.2,1175,17.31,18,,,,
"AERSU","REG",1988,8,9,952,222,4.3,-61.7,26.4,6,1.5,0.8,0.3,1.7,4,21.5,54,,1.6,0.4,1150,16.94,13,,,,
"AERCA","REG",1988,8,16,959,229,4.31,-61.6,28.2,7,3.5,1.6,0,0.9,3,18.1,60,,1.7,0.5,1161,17.1,,,,,
"AERSU","REG",1988,8,16,959,229,4.31,-61.1,27,6,4,1.6,0.3,1.3,2,17.4,59,,1.6,0.5,1049,15.45,13,,,,
"AERCA","REG",1988,8,23,966,236,4.87,-19.4,8.8,7,2,0.8,0.5,1.7,8,7.6,14,,5,0.3,783,11.53,13,,,,
"AERSU","REG",1988,8,23,966,236,4.82,-19,9.3,3,1,0,0.3,2.2,4,7.7,13,,5,0.2,732,10.78,11,,,,
"AERCA","REG",1988,8,30,973,243,4.96,-14.4,7.4,4,4.5,2.5,1,9.6,11,6.3,17,,4.4,0.5,4310,63.49,66,,,,
"AERSU","REG",1988,8,30,973,243,5,-13.4,8,6,5,2.5,1,7.8,10,6.1,17,,5,0.4,3860,56.86,60,,,,
"AERCA","REG",1988,9,6,980,250,4.85,-14.6,8.1,4,2.5,0.8,0.3,4.8,6,5.5,17,,7.2,0.1,1332,19.62,20,,,,
"AERSU","REG",1988,9,6,980,250,4.85,-16.2,7,3,1.5,0.8,0.5,4.3,8,4.4,16,,6.6,0.1,1223,18.01,17,,,,
"AERCA","REG",1988,9,20,994,264,4.29,-64.4,34.2,7,14,6.6,8.2,15.7,17,34.6,66,,1.4,0.2,541,7.97,8,,,,
"AERSU","REG",1988,9,20,994,264,4.11,-97.2,43.8,6,2.5,3.3,1.3,15.7,17,38.1,72,,1.7,0.4,446,6.57,5,,,,
"AERCA","REG",1988,9,27,1001,271,4.52,-35.8,16.5,5,1,0,0.3,1.7,2,9.9,34,,6.6,0.1,1096,16.14,15,,,,
"AERSU","REG",1988,9,27,1001,271,4.55,-34.6,16.4,5,1,0,0.5,1.7,6,10.1,33,,6.1,0.2,886,13.05,11,,,,
"AERCA","REG",1988,10,4,1008,278,4.06,-107.3,52.5,15,10,4.9,2,13.5,15,59.7,94,,2.5,0.7,530,7.81,6,,,,
"AERSU","REG",1988,10,4,1008,278,4.03,-113,55.3,10,10.5,4.9,1,12.6,21,60.9,93,,1.7,0.8,280,4.12,3,,,,
"AERCA","REG",1988,10,11,1015,285,5.17,-7.2,5,4,1,0,0.5,0.9,3,2.2,8,,2.2,0.2,2338,34.44,33,,,,
"AERCA","REG",1988,10,18,1022,292,4.06,-115,57.1,,11.5,9,2.6,37.8,45,57.7,108,,3.2,0.8,266,3.92,5,,,,
"AEREA","REG",1988,10,18,1022,292,4.21,,43.5,,11,17.3,2.8,75.3,83,38.6,70,,2,1.7,146,2.15,0,,,,
"AERCA","REG",1988,10,25,1029,299,4.81,-15.9,12.9,10,8,7.4,5.1,20.4,23,10.4,26,,5,0.2,4545,66.95,66,,,,
"AEREA","REG",1988,10,25,1029,299,4.71,-22.9,15.4,9,3.5,5.8,3.6,22.2,28,11.3,26,,7.8,0.3,4782,70.44,0,,,,
"AERSU","REG",1988,10,25,1029,299,4.7,-24.8,13.2,6,1,3.3,0.8,16.5,17,9.6,23,,6.6,0.4,1085,15.98,58,,,,
"AERCA","REG",1988,11,1,1036,306,4.02,-125.3,57.6,9,6.5,7.4,1.8,27,33,81,81,,2,0.5,446,6.57,6,,,,
"AEREA","REG",1988,11,1,1036,306,4.04,-120.4,58.7,5,6.5,8.2,1.3,29.1,41,80.2,80,,1.9,0.9,475,7,9,,,,
"AERSU","REG",1988,11,1,1036,306,4.06,-109.4,51.1,,6.5,6.6,1.3,21.8,29,72.7,66,,1.8,0.7,185,2.72,5,,,,
"AERCA","REG",1988,11,8,1043,313,5.25,-4.3,4.9,4,0.5,1.6,0.3,8.3,11,3,6,,1.1,0,4990,73.5,75,,,,
"AEREA","REG",1988,11,8,1043,313,5.33,-3.8,5.2,4,1,2.5,1.5,7.8,12,2.7,5,,0.6,0.1,4216,62.1,62,,,,
"AERSU","REG",1988,11,8,1043,313,5.46,-1.2,3.6,3,1,2.5,0.8,5.7,7,1.1,4,,0.6,0.1,3785,55.75,54,,,,
"AERCA","REG",1988,11,15,1050,320,4.46,-45.3,23.3,6,2.5,4.9,2.6,21.8,27,21.5,32,,6.6,0.3,2203,32.45,54,,,,
"AEREA","REG",1988,11,15,1050,320,4.41,-51.8,26.9,4,2,4.9,1,21.8,29,23.4,33,,7.8,0.2,2127,31.33,30,,,,
"AERSU","REG",1988,11,15,1050,320,4.48,-41.7,13.4,4,1.5,4.1,1.3,18.3,24,18.3,28,,6.1,0.2,1822,26.84,27,,,,
"AERCA","REG",1988,11,22,1057,327,4.96,-12.7,5.9,1,0.5,0.8,0.3,3.5,4,6.3,10,,3.3,0.1,2850,41.98,43,,,,
"AEREA","REG",1988,11,22,1057,327,4.96,-11.9,6.6,1,0,0,0,3,2,6.6,11,,3.3,0.1,2614,38.5,68,,,,
"AERSU","REG",1988,11,22,1057,327,4.88,-15.1,8.1,1,0.5,0.8,0.3,4.3,4,7.8,15,,3.9,1.9,2397,35.31,38,,,,
"AERCA","REG",1988,11,29,1064,334,4.77,-18.8,7.8,3,1.5,0.8,0.5,1.3,4,9.3,14,,3.9,0.5,2094,30.84,28,,,,
"AEREA","REG",1988,11,29,1064,334,4.8,-18.5,9.7,2,1,0,0.3,1.3,2,8.7,13,,3.3,0.1,2059,30.33,27,,,,
"AERSU","REG",1988,11,29,1064,334,4.81,-17.8,7.6,2,1,0,0.3,1.3,1,7.7,13,,2.8,0.1,1715,25.26,29,,,,
"AERCA","REG",1988,12,13,1078,348,,,,,,,,,18,25.1,10,,3.9,,31,0.46,1,,,,
"AEREA","REG",1988,12,13,1078,348,,,4,,2.5,0.8,0.5,2.6,,,,,1.1,0.2,139,2.05,1,,,,
"AERSU","REG",1988,12,13,1078,348,,,9.1,,,,,,,,,,,,19,0.28,1,,,,
"AERCA","REG",1988,12,20,1085,355,4.33,-50.6,29.9,5,3.5,5.8,0.8,24.8,28,40.3,34,,1.6,0.2,623,9.18,10,,,,
"AEREA","REG",1988,12,20,1085,355,4.19,-72.4,40.8,7,4,8.2,1,33.1,39,56.8,46,,2.1,0.4,392,5.77,8,,,,
"AERSU","REG",1988,12,20,1085,355,4.17,-69.7,39.1,9,4.5,6.6,0.8,27.4,31,53.4,43,,2.1,0.5,224,3.3,5,,,,
"AERCA","REG",1988,12,27,1092,362,4.67,-23.2,11.6,3,1.5,1.6,0.3,3.9,3,14.8,16,,5.5,0.1,1105,16.28,14,,,,
"AEREA","REG",1988,12,27,1092,362,4.72,-25.2,11.6,2,1,0.8,0.5,2.6,3,14.3,16,,5.5,0.1,1090,16.06,15,,,,
"AERSU","REG",1988,12,27,1092,362,4.78,-19.7,9.7,2,1,0.8,0,2.6,7,12.1,12,,4.4,0.1,708,10.43,12,,,,
"AERCA","REG",1989,1,3,1099,3,4.25,-61.2,28,10,3.5,4.9,1,22.2,20,35.3,33,,13.9,0.15,1096,16.14,,,,,
"AEREA","REG",1989,1,3,1099,3,4.31,-52.7,27.4,8,2.5,4.1,0.5,20.4,22,29.2,31,,8.3,0.15,1806,26.6,,,,,
"AERSU","REG",1989,1,3,1099,3,4.24,-63.6,29,6,2.5,3.3,0.5,14.4,17,38.4,34,,12.7,0.22,575,8.47,,,,,
"AERCA","REG",1989,1,10,1106,10,4.56,-31.4,13.6,5,3.5,0.8,1.5,5.2,10,11.7,22,,3.9,0.41,263.4,3.88,5.08,,,,
"AEREA","REG",1989,1,10,1106,10,4.58,-29.8,13.5,6,1.5,0.8,1,3.5,7,10.1,20,,2.8,0.26,306.5,4.51,5.588,,,,
"AERSU","REG",1989,1,10,1106,10,4.71,-21.9,10.3,8,2.5,0.8,0.8,3.5,8,8.1,15,,0.6,0.22,175.4,2.58,2.794,,,,
"AERCA","REG",1989,1,17,1113,17,4.7,-21.8,15,4,1.5,4.1,1.3,17,27,13.4,25,,5.5,0.04,835.8,12.31,13.97,,,,
"AEREA","REG",1989,1,17,1113,17,4.71,-24.4,14.5,4,3,6.6,2.8,24.8,19,10.9,23,,4.4,0.07,924.8,13.62,13.97,,,,
"AERSU","REG",1989,1,17,1113,17,4.73,-19.2,11.7,3,1.5,3.3,1,10.9,14,9.2,18,,4.4,0.11,362.3,5.34,7.62,,,,
"AERCA","REG",1989,1,24,1120,24,4.17,-82.4,36.7,13,9,12.3,1.5,51.8,55,73.9,51,,26,0.37,1049.8,15.46,17.78,,,,
"AEREA","REG",1989,1,24,1120,24,4.17,-80.9,40.5,15,8,12.3,1.3,51.3,52,70,42,,24.4,0.26,1101.2,16.22,16.51,,,,
"AERSU","REG",1989,1,24,1120,24,4.17,-79.5,38,30,7,9.9,1.3,40.5,44,68.4,54,,28.3,0.33,464.3,6.84,12.192,,,,
"AERCA","REG",1989,1,31,1127,31,4.46,-43.1,14,9,3,2.5,0.3,9.6,13,20.3,27,,5.5,0.19,711.8,10.48,11.43,,,,
"AEREA","REG",1989,1,31,1127,31,4.3,-60.6,24.7,15,3,3.3,1,10.9,14,27.3,37,,6.6,0.22,858.1,12.64,10.922,,,,
"AERSU","REG",1989,1,31,1127,31,4.29,,,,6,1.6,0.3,3,,,,,,0.56,53.4,0.79,5.08,,,,
"AERCA","REG",1989,2,7,1134,38,4.43,-45.4,20.5,8,2,0.8,0.3,3.9,9,29.3,22,,6.1,0.15,893.1,13.16,11.684,,,,
"AEREA","REG",1989,2,7,1134,38,4.62,-23.8,12.2,4,2,0.8,0.3,3,6,19.3,9,,3.3,0.11,580.3,8.55,13.97,,,,
"AERCA","REG",1989,2,14,1141,45,4.56,-30.8,17.4,12,3,4.1,0.5,19.1,21,21.7,13,,3.9,0.11,1092,16.08,,,,,
"AEREA","REG",1989,2,14,1141,45,4.64,-25.4,13.7,7,2,2.5,0.3,10.4,15,15.7,12,,3.3,0.11,1041.3,15.34,16.256,,,,
"AERCA","REG",1989,2,21,1148,52,4.55,-33.5,14.9,3,2.5,1.6,1,5.7,5,20.4,22,,6.1,0.11,1078.8,15.89,17.78,,,,
"AEREA","REG",1989,2,21,1148,52,4.59,-27.7,15.4,7,2,0.8,1.5,3.9,5,16.1,20,,6.1,0.07,1011.8,14.9,16.51,,,,
"AERSU","REG",1989,2,21,1148,52,4.48,-39.5,20.7,4,2.5,1.6,0.8,4.8,6,20.9,29,,7.2,0.15,849.2,12.51,12.192,,,,
"AERCA","REG",1989,2,28,1155,59,4.55,-35.6,19.4,4,2.5,3.3,2.3,14.4,18,15,25,,3.3,0.07,1766.5,26.02,30.48,,,,
"AEREA","REG",1989,2,28,1155,59,4.46,-42,23,2,2.5,5.8,1,25.2,30,16.6,28,,3.9,0.04,1442.6,21.25,30.48,,,,
"AERSU","REG",1989,2,28,1155,59,4.54,-36.6,19,4,2.5,2.5,1,13.9,16,16.3,24,,4.4,0.07,1132.2,16.68,22.606,,,,
"AEREA","REG",1989,3,7,1162,66,4.08,-97.3,43.9,8,4,0.8,1.3,3.9,7,37.4,73,,17.7,0.33,870.6,12.82,10.922,,,,
"AERSU","REG",1989,3,7,1162,66,4.21,-75.4,34.5,7,6,1.6,1.8,5.7,6,20.5,69,,13.3,0.41,680,10.02,,,,,
"AERCA","REG",1989,3,14,1169,73,4.66,-28.4,12.9,8,4.5,0.8,0.3,4.4,8,23,9,,5,0.15,259.4,3.82,4.826,,,,
"AEREA","REG",1989,3,14,1169,73,4.58,-30.4,,,6,1.6,1.8,5.7,9,25.1,9,,8.9,0.19,144.8,2.13,3.302,,,,
"AERSU","REG",1989,3,14,1169,73,,,,,,,,,,,,,,,64.1,0.94,2.54,,,,
"AERCA","REG",1989,3,21,1176,80,4.48,-38.8,21.7,2,7,4.1,1.5,17.8,19,14.9,37,,10,0.19,1196.2,17.62,17.018,,,,
"AEREA","REG",1989,3,21,1176,80,4.43,-44.6,24.9,3,6,4.1,1.3,20,20,17.3,42,,11.1,0.19,1080,15.91,17.272,,,,
"AERSU","REG",1989,3,21,1176,80,4.3,-57.9,31.8,8,8.5,3.3,2.3,17.4,19,19.9,60,,15,0.22,398.3,5.87,10.668,,,,
"AERCA","REG",1989,3,28,1183,87,5.06,-8,6.6,2,1.5,0.8,0.3,4.4,7,3,13,,5.5,0.04,1116.3,16.44,16.002,,,,
"AEREA","REG",1989,3,28,1183,87,4.99,-9.8,6.6,2,1.5,0.8,0,3.9,6,4.5,12,,5.5,0.07,1016.7,14.98,16.764,,,,
"AERSU","REG",1989,3,28,1183,87,5.04,-8.1,7.9,2,1.5,0.8,0.3,5.7,8,3.2,13,,5,0.07,774.5,11.41,12.446,,,,
"AERCA","REG",1989,4,4,1190,94,4.89,-16.3,9.6,2,1.5,1.6,0,3.5,3,7.5,16,,5,0.19,2109.6,31.07,32.512,,,,
"AEREA","REG",1989,4,4,1190,94,4.89,-14.6,8.9,1,1,0.8,0,4.4,5,6.3,14,,3.9,0.11,1840.7,27.11,27.94,,,,
"AERSU","REG",1989,4,4,1190,94,5.03,-12.4,6,2,2,0.8,0,2.2,4,3.9,8,,3.9,0.15,1871.8,27.57,29.718,,,,
"AERCA","REG",1989,4,11,1197,101,4.56,-37,14.4,9,2.5,0.8,0,5.7,8,18.9,26,,8.9,0.07,3992.3,58.81,59.436,,,,
"AEREA","REG",1989,4,11,1197,101,4.5,-37.1,14.5,15,2,0.8,0,6.5,8,18.8,27,,6.6,0.11,3944.3,58.1,57.15,,,,
"AERSU","REG",1989,4,11,1197,101,4.51,-38.3,14.8,4,2.5,0.8,0,4.8,7,18.8,28,,8.9,0.11,3105.1,45.74,49.784,,,,
"AERCA","REG",1989,4,18,1204,108,4.54,-32.3,16.6,7,2.5,1.6,0.3,4.8,9,8.2,30,,7.2,0.15,934.2,13.76,12.954,,,,
"AEREA","REG",1989,4,18,1204,108,4.62,-29.8,15.5,6,1.5,1.6,0.5,6.5,5,7.1,31,,7.2,0.19,773.9,11.4,10.414,,,,
"AERSU","REG",1989,4,18,1204,108,4.63,-27.4,14,6,1.5,0.8,0,3,3,8.5,28,,6.6,0.15,758.1,11.17,12.7,,,,
"AERCA","REG",1989,4,25,1211,115,4.33,-58.5,26.9,5,4.5,1.6,0.3,3.5,5,43.3,29,,11.1,0.26,1215.5,17.9,20.32,,,,
"AEREA","REG",1989,4,25,1211,115,4.26,-61.4,29.1,6,3.5,0.8,0.5,4.8,6,48.4,27,,11.1,0.48,1173.8,17.29,20.066,,,,
"AERSU","REG",1989,4,25,1211,115,4.2,-77.9,36.2,2,4.5,0.8,0,2.2,5,66.6,29,,13.3,0.22,717.1,10.56,20.066,,,,
"AERCA","REG",1989,5,2,1218,122,4.17,-91.5,39.9,7,2.5,0.8,0.5,0.9,7,30,71,,21.6,0.37,647,9.53,9.652,,,,
"AEREA","REG",1989,5,2,1218,122,4.19,-77.3,35.3,9,2.5,0.8,1.3,4.4,7,27.4,61,,19.9,0.3,820.3,12.08,10.414,,,,
"AERSU","REG",1989,5,2,1218,122,4.16,-85.8,37.3,6,2,0.8,0.5,0.4,3,25.6,67,,19.4,0.26,658.5,9.7,11.684,,,,
"AERCA","REG",1989,5,9,1225,129,4.44,-43.5,23.1,7,2.5,5.8,0,23.9,17,14.6,47,,12.7,0.26,4234.3,62.37,64.77,,,,
