"year","month","H2O_mm","H_eq_ha","Ca_eq_ha","Mg_eq_ha","K_eq_ha","Na_eq_ha","Cl_eq_ha","NO3_eq_ha","NH4_eq_ha","SO4_eq_ha"
1998,12,31,11.5,1.2,2,1.1,8.8,9.6,3.5,3.2,10.9
1999,1,209,42.1,7.2,14.2,1.8,68,76.7,28.3,7.7,41.3
1999,2,100,14.6,2.7,5.3,0.7,24.9,30.1,8.1,5.1,19.6
1999,3,386,108.6,20.3,32.6,4.7,123.6,130.6,60.7,40.8,130.5
1999,4,7,6.5,2.6,0.9,0.2,1.7,1.6,8.6,6.3,11.5
1999,5,70,14.2,3.9,2.3,1.8,7.8,6.8,10.1,7.3,22.1
1999,6,56,24.1,4.5,2.2,1.6,5.7,7.3,26.5,14.3,42.4
1999,7,51,10.5,2.5,1.2,0.8,5.4,3.9,11.5,4.5,22.8
1999,8,79,24.2,0.4,0.3,0,2.9,4.3,9.9,9.4,25.6
1999,9,212,36.5,8.8,11,2.8,46.1,47.8,18.2,13,44.7
1999,10,111,35.3,4.2,6.2,2,25.2,30.7,13.4,8.5,29.3
1999,11,128,37.7,2,9.7,1.9,50.3,51.3,19.3,8.9,30.4
1999,12,132,32.3,2,1.6,0.4,12,13.9,19.6,4,17
2000,1,117,31.6,4.2,4.6,0,24.5,28.5,20.2,10.3,25.5
2000,2,60,20.7,3.5,9.7,1.1,41.7,52.3,13.6,4.2,17.9
2000,3,93,39.6,3.8,1.6,0.8,8.5,16.7,20.5,9.7,28.6
2000,4,193,67.9,11.1,19.1,2.6,81.5,90.6,47.8,27.3,71.5
2000,5,122,40.6,6.4,3.4,1.8,10.7,12.1,28.9,28.7,54.1
2000,6,76,26,0.9,0,0.3,3.6,4.5,13.8,10,24
2000,7,87,21,0,0,0,0,2.5,8.7,5.3,17.5
2000,8,52,20.1,3.1,0,0.4,2.7,4.7,10.7,9.7,19.4
2000,9,101,28.3,6.5,0,0.2,3.8,5.4,15.4,13.1,30.1
2000,10,80,22.3,2.9,3.7,1.2,14.2,15.6,8.5,5.5,25.1
2000,11,127,9.9,2.2,0.6,0.6,6.2,7.1,3.6,2.6,8.9
2000,12,94,21,2.2,6.9,1.4,31.8,37.1,12.7,3.4,17.4
2001,1,64,13.1,2.2,4.5,1.2,28.4,25.1,12.1,3.2,12
2001,2,119,56.4,5.1,4.6,0.7,19.8,19,41.3,17.8,45.7
2001,3,55,10.5,0.8,0.9,0.4,5.8,5.4,7.3,3.4,9.4
2001,4,157,22.8,3.8,1.9,0.7,5.4,7.2,8.9,7.2,25.7
2001,5,42,8.9,1.7,1,0.4,2.4,3.1,4.4,2.6,9.2
2001,6,69,16.7,2.4,0.9,1.3,2.3,5,7.8,4.6,14.6
2001,7,80,7.9,2.8,0.7,1,2.8,4,4.1,3.6,6.7
2001,8,27,14.9,1.2,0.4,0.4,0.7,1.3,6.2,5.7,18.5
2001,9,63,19.4,1.3,2.6,0.6,10.9,11.9,9.4,6.6,21.4
2001,10,79,20,2.4,3.3,0.8,11.4,13.5,11.9,6.2,21.5
2001,11,41.1,34.2,3.7,4.1,0.8,14.7,17.3,27.8,13.2,26.3
2001,12,99.4,26.8,2.5,4.1,0.8,14.3,14.9,21.8,6.6,18.9
2002,1,87.9,18.8,2.6,2.2,0.7,9.6,9.7,15.8,6.3,12.3
2002,2,122,33.1,5.8,6.3,1.4,29.2,30.4,25.7,12.2,25.4
2002,3,90.8,12.6,6.9,3.8,1.1,13.7,16.7,8.2,6.7,14.8
2002,4,269,56.6,8.5,4.8,1.6,17.1,21,34.5,30.4,52.1
2002,5,76.3,15.3,2.2,1.3,0.6,4.8,5.8,10.3,9.8,16.8
2002,6,80.6,21.8,3.3,1.3,1.4,3.9,4.7,17,14.2,20.8
2002,7,108,23.8,7,1.8,1.1,2.4,3.6,19.1,25.7,32.4
2002,8,15.3,8,0.5,0.1,0.2,0.4,0.9,4.4,5.3,9.3
2002,9,109,19.2,2.2,2.3,1.2,9.7,11.8,10.1,9,20.2
2002,10,115,20.4,2.4,3.8,1.5,16.4,20.4,12.4,6.5,18.2
2002,11,64.5,7.6,1,2.7,0.7,10.9,13.5,4.4,3.6,9.7
2002,12,177,10.1,1.6,2.2,1.1,9,11.4,4.1,2.1,7.2
2003,1,50.8,9,1.1,1.1,0.6,5.8,6.1,5.4,1.7,6.1
2003,2,97.5,15.4,2.2,0.7,0.4,3.5,5.3,12.9,3.2,7.2
2003,3,138,22.2,4.2,1.8,0.7,8.5,9.5,14.7,4.9,15.1
2003,4,127,25.7,5.1,8.9,1.1,12.7,14.1,15.6,10,22.1
2003,5,94.1,15.8,2.5,1.1,0.4,3.3,3.6,7.8,0,13.6
2003,6,107,17.8,1.1,0.5,1,1,1.8,8,3,15.3
2003,7,67.3,20.1,2.8,0.8,0.3,1.1,2.7,12.2,14.2,23.2
2003,8,63.2,7.4,0.8,0.4,0.1,1.6,2.1,3.7,3.2,5.2
2003,9,132,28.7,4.5,12.8,1.6,60,67.2,15.1,10.2,34.3
2003,10,259,46.8,14.1,13.3,7,44.1,51.2,38.3,8.7,52.7
2003,11,175,16.5,3,5.7,1.3,26.8,31.1,9,3.1,15.8
2003,12,174,12.1,4.9,14.4,2.9,72.8,77.7,5.1,1.2,15
2004,2,22.1,6.5,0.7,1.4,0.2,6.6,7.3,4.4,,6.6
