"site","watershed","ISCO_number","record_type","year","month","day","hour","season","julian_day","running_day_of_project","Ca_ueq_L","nmCa_ueq_L","Mg_flag","Mg_ueq_L","nmMg_ueq_L","K_flag","K_ueq_L","nmK_ueq_L","Na_ueq_L","nmNa_ueq_L","Si_flag","Si_mg_L","NH4_flag","NH4_ueq_L","Al_flag","Al_ppb","Al_org_flag","Al_org_ppb","total_N_flag","total_N_ppm","Cl_ueq_L","SO4_ueq_L","nmSO4_ueq_L","NO3_flag","NO3_ueq_L","DOC_flag","DOC_mg_L","DIC_flag","DIC_mg_L","ANC_ueq_L","sp_conductance_us_cm","discharge_L_sec","H_ueq_L","HCO3_ueq_L","pH_closed_cell","pH_air_eqll","pH_initial","pH_uneqll","apparent_color_flag","apparent_color_PCU","true_color_flag","true_color_PCU","total_P_flag","total_P_ppb","Comment"
"EB8","EB","22","ISCO",1996,12,2,24,"WINTER",338,3990,54,51,"",19,5,"",10.2,9,68,6,"",1.5,"<DL",1.4,,"278","","","",,72,83,76,"",2.2,"",3.1,"",,-3.1,21.3,36.237,7.94,,,5.1,,"","",12,"",,"",,""
"WB3","WB","22","ISCO",1996,12,2,24,"WINTER",338,3990,99,96,"",34,19,"",12.5,11,73,7,"",1.7,"<DL",1.4,,"656","","","",,77,205,197,"",43.5,"",2.2,"",,-21.8,43.9,34.255,17.4,,,4.76,,"","",22,"",,"",,""
"EB8","EB","23","ISCO",1996,12,3,2,"WINTER",338.1,3990.08,54,52,"",19,5,"",9.5,8,69,7,"",1.5,"<DL",1.4,,"272","","","",,73,84,76,"",1.9,"",2.8,"",,-3.3,21.2,29.725,7.41,,,5.13,,"","",10,"",,"",,""
"WB3","WB","23","ISCO",1996,12,3,2,"WINTER",338.1,3990.08,98,95,"",34,19,"",11.8,10,72,5,"",1.8,"<DL",1.4,,"696","","","",,78,204,196,"",43.2,"",2.2,"",,-24.6,44.1,28.282,19.5,,,4.71,,"","",29,"",,"",,""
"EB8","EB","S","DUP",1996,12,3,11,"WINTER",338.5,3990.46,54,51,"",20,5,"",6.9,6,73,10,"",1.6,"<DL",1.4,,"207","","","",0.1,74,88,80,"",1,"",2.6,"",1.6,-2.1,21.1,17.297,6.03,8.14,5.18,5.22,,"","",6,"",,"",2.9,""
"EB8","EB","S","REG",1996,12,3,11,"WINTER",338.5,3990.46,54,51,"",20,6,"",6.9,6,74,11,"",1.6,"<DL",1.4,,"204","","","",0.1,73,87,79,"<RL",0.9,"",2.6,"",1.6,-3.8,21.1,17.297,6.17,7.77,5.17,5.21,,"","",6,"",,"",,""
"WB3","WB","S","REG",1996,12,3,11,"WINTER",338.5,3990.46,104,101,"",35,20,"",10.7,9,82,14,"",1.9,"<DL",1.4,,"952","","","",0.66,79,205,197,"",43.3,"",1.9,"",1.3,-13.9,41.7,14.325,15.5,2.71,4.78,4.81,,"","<RL",3,"",,"",2.2,""
"WB3","WB","S","REP",1996,12,3,11,"WINTER",338.5,3990.46,104,101,"",35,20,"",10.7,9,82,14,"",1.9,"<DL",1.4,,"1,040","","","",,79,207,199,"",43.5,"",1.9,"",1.3,-13.8,41.5,14.325,15.1,,,4.82,,"4.81","<RL",3,"",,"",,""
"EB8","EB","9","ISCO",1996,12,6,16,"WINTER",341.7,3993.67,109,106,"",37,22,"",8.2,7,85,18,"",1.9,"<DL",1.4,,"816","","","",,78,92,84,"<DL",0.05,"",1.8,"",,-8.4,21.4,3.794,15.8,,,4.8,,"","<RL",1,"",,"",,""
"WB3","WB","9","ISCO",1996,12,6,16,"WINTER",341.7,3993.67,58,55,"",21,5,"",5.1,4,75,4,"",1.8,"<DL",1.4,,"157","","","",,83,190,181,"",33.2,"",1.5,"",,-1.8,37.7,3.51,7.08,,,5.15,,"","<RL",3,"",,"",,""
