site,watershed,ISCO_number,record_type,year,month,day,hour,season,julian_day,running_day_of_project,Ca_ueq_L,nmCa_ueq_L,Mg_flag,Mg_ueq_L,nmMg_ueq_L,K_flag,K_ueq_L,nmK_ueq_L,Na_ueq_L,nmNa_ueq_L,Si_flag,Si_mg_L,NH4_flag,NH4_ueq_L,Al_flag,Al_ppb,Al_org_flag,Al_org_ppb,total_N_flag,total_N_ppm,Cl_ueq_L,SO4_ueq_L,nmSO4_ueq_L,NO3_flag,NO3_ueq_L,DOC_flag,DOC_mg_L,DIC_flag,DIC_mg_L,ANC_ueq_L,sp_conductance_us_cm,discharge_L_sec,H_ueq_L,HCO3_ueq_L,pH_closed_cell,pH_air_eqll,pH_initial,pH_uneqll,apparent_color_flag,apparent_color_PCU,true_color_flag,true_color_PCU,total_P_flag,total_P_ppb,Comment
WB3,WB,,REG,1987,2,17,12,WINTER,48.50,413.50,86,84,,36,22,,6.6,5.0,93,30,,2.8,<DL,1.40,,40,,26,,,73,96,88,,8.7,,,,0.6,31.3,25.9,,0.30,16.00,6.04,6.52,,,,6,,6,,,
EB3,EB,,REG,1987,3,4,12,SPRING,63.50,428.50,116,114,,38,24,,6.1,5.0,91,30,,2.3,<DL,1.40,,38,,31,,,72,107,100,,5.4,,1.1,,0.6,49.5,27.2,,0.19,22.20,6.27,6.72,,,<RL,2,<RL,2,,,
WB3,WB,,REG,1987,3,4,12,SPRING,63.50,428.50,88,85,,36,22,,6.4,5.0,94,32,,3.0,<DL,1.40,,37,,27,,,73,95,87,,7.5,,1.3,,0.6,30.6,24.5,,0.37,17.30,6.09,6.43,,,<RL,3,<RL,2,,,
EB3,EB,,REG,1987,3,10,11,SPRING,69.46,434.46,110,108,,35,22,,6.6,5.0,90,32,,2.3,,,,33,,33,,,68,102,95,,5.3,,1.6,,0.8,46.4,30.0,,0.18,34.60,6.40,6.75,,,<RL,2,<RL,2,,,
WB3,WB,,REG,1987,3,10,11,SPRING,69.46,434.46,90,88,,36,22,,6.1,5.0,92,30,,3.2,,,,30,,28,,,72,93,86,,7.4,,1.2,,0.5,29.0,27.4,,0.26,16.20,6.17,6.58,,,<RL,3,<RL,3,,,
EB3,EB,,DUP,1987,3,18,13,SPRING,77.54,442.54,120,117,,38,24,,6.1,5.0,92,31,,2.8,<DL,1.40,,54,,31,,,71,108,101,,4.3,,,,0.5,54.4,27.6,,0.15,20.90,6.37,6.82,,,<RL,1,<RL,2,,,
EB3,EB,,REG,1987,3,18,13,SPRING,77.54,442.54,137,135,,37,23,,6.1,5.0,92,30,,2.8,<DL,1.40,,54,,38,,,72,101,94,,5.1,,1.1,,0.5,52.4,29.1,,0.13,22.60,6.44,6.88,,,<RL,2,<RL,4,,,
WB3,WB,,REG,1987,3,18,13,SPRING,77.54,442.54,90,88,,35,22,,6.4,5.0,90,29,,3.1,<DL,1.40,,40,,36,,,71,95,88,,6.2,<RL,0.9,,0.5,36.2,23.3,,0.18,16.40,6.18,6.74,,,<RL,0,<RL,2,,,
EB3,EB,,REG,1987,3,23,15,SPRING,82.60,447.60,125,122,,39,21,,6.9,5.0,96,18,,2.0,<DL,1.40,,45,,44,,,90,106,97,,10.5,,1.3,,0.5,48.4,30.5,,0.20,17.60,6.23,6.70,,,<RL,4,<RL,1,,,
WB3,WB,,REG,1987,3,23,15,SPRING,82.60,447.60,103,99,,41,24,,7.7,6.0,99,24,,2.7,<DL,1.40,,37,,28,,,88,95,86,,17.2,,1.2,,0.8,37.9,27.8,,0.22,19.10,5.97,6.65,,,,6,<RL,1,,,
EB3,EB,,REG,1987,3,25,11,SPRING,84.46,449.46,,,,30,17,,5.9,5.0,80,21,,1.5,<DL,1.40,,88,,46,,,68,99,92,,13.2,,1.2,<RL,0.2,18.2,24.6,,0.52,3.49,5.79,6.28,,,<RL,4,<RL,2,,,
WB3,WB,,REG,1987,3,25,12,SPRING,84.50,449.50,84,81,,35,21,,6.6,5.0,79,20,,2.1,<DL,1.40,,38,,25,,,69,86,79,,13.9,,1.1,<RL,0.4,26.4,23.2,,0.27,9.38,5.96,6.57,,,<RL,4,<RL,3,,,
EB3,EB,,REG,1987,3,27,11,SPRING,86.46,451.46,88,85,,30,18,,5.9,5.0,80,27,,1.5,<DL,1.40,,124,,74,,,62,97,91,,24.4,,1.5,,,8.2,25.6,,2.51,,5.39,5.60,,,,6,<RL,2,,,
WB3,WB,,REG,1987,3,27,11,SPRING,86.46,451.46,98,95,,35,19,,7.4,6.0,82,14,,1.6,<DL,1.40,,70,,48,,,80,99,91,,24.9,,1.3,<RL,0.2,13.5,26.8,,1.23,3.30,5.76,5.91,,,<RL,1,<RL,4,,,
EB3,EB,,REG,1987,3,29,10,SPRING,88.42,453.42,81,79,,28,16,,5.1,4.0,75,20,,1.5,<DL,1.40,,160,,75,,,64,96,89,,21.5,,1.5,,,5.0,23.7,,2.88,,5.58,5.54,,,<RL,1,<RL,1,,,
